Answers to collect: 103 gemma4:e2b+931177, 29 claude-opus-5-5, 6 claude-opus-5-5+redacted, 0 moonshotai/kimi-k3
  ✓ claude-opus-5-5                h_qf4     3.7s  280 tok
  ✓ claude-opus-5-5                h_qf3     4.3s  307 tok
  ✓ claude-opus-5-5                h_qf1     4.8s  367 tok
  ✓ claude-opus-5-5                h_cs1     6.2s  634 tok
  ✓ claude-opus-5-5                h_cs2     7.6s  852 tok
  ✓ claude-opus-5-5                h_qf2     8.0s  764 tok
  ✓ claude-opus-5-5                h_cs4     9.8s  983 tok
  ✓ claude-opus-5-5                h_cs3    13.8s  1552 tok
  ✓ gemma4:e2b+931177              qf01     15.8s  214 tok
  ✓ claude-opus-5-5                h_rs1     5.3s  381 tok
  ✓ claude-opus-5-5                h_rs2     2.1s  143 tok
  ✓ claude-opus-5-5                h_rs3     1.4s  78 tok
  ✓ claude-opus-5-5                h_em1     1.4s  48 tok
  ✓ claude-opus-5-5                h_ex1    17.2s  1639 tok
  ✓ claude-opus-5-5                h_ex3    11.5s  1139 tok
  ✓ claude-opus-5-5                h_ex2    17.5s  1869 tok
  ✓ claude-opus-5-5                h_em2     2.1s  5 tok
  ✓ claude-opus-5-5                h_em3     1.4s  49 tok
  ✓ claude-opus-5-5                h_em4     1.7s  92 tok
  ✓ claude-opus-5-5                h_re2     3.6s  317 tok
  ✓ claude-opus-5-5                h_re1     5.8s  533 tok
  ✓ claude-opus-5-5                h_pv1     8.7s  814 tok
  ✓ claude-opus-5-5                h_cc1    34.2s  4625 tok
  ✓ claude-opus-5-5                h_re3    12.8s  1183 tok
  ✓ claude-opus-5-5                h_pv2    10.9s  975 tok
  ✓ claude-opus-5-5                h_pv3    13.9s  1143 tok
  ✓ gemma4:e2b+931177              qf02     32.3s  443 tok
  ✓ claude-opus-5-5+redacted       pv02      7.6s  729 tok
  ✓ claude-opus-5-5                h_cc3    43.1s  5581 tok
  ✓ claude-opus-5-5+redacted       pv01     11.8s  1108 tok
  ✓ claude-opus-5-5                h_pv4    15.4s  1627 tok
  ✓ claude-opus-5-5+redacted       pv08      5.0s  411 tok
  ✓ claude-opus-5-5+redacted       pv06     10.0s  943 tok
  ✓ claude-opus-5-5                h_pv5    20.4s  1953 tok
  ✓ claude-opus-5-5+redacted       h_pv1    11.0s  1070 tok
  ✓ gemma4:e2b+931177              qf03     14.7s  206 tok
  ✓ claude-opus-5-5+redacted       h_pv4    15.6s  1648 tok
  ✓ claude-opus-5-5                h_cc2    69.5s  7987 tok
